year,date,transect,grd,wetype,basin_no,species,pairs,lonedrake,flockdrake,groups,region,p_species,ind_birds_R
1973,16,50,2,9,13,32,0,1,0,0,3,1,2
1973,16,50,2,9,14,32,1,0,0,0,3,1,2
1973,16,50,2,9,14,40,1,0,0,0,3,2,2
1973,16,50,2,9,15,40,2,0,0,0,3,2,4
1973,16,50,2,9,16,40,3,2,0,0,3,2,10
1973,15,52,1,1,4,32,0,1,0,0,3,1,2
1973,15,52,1,5,5,32,0,0,0,0,3,1,0
1973,15,52,1,9,6,32,0,1,0,0,3,1,2
1973,15,52,1,9,7,32,0,4,0,0,3,1,8
1973,17,52,2,4,22,40,1,0,0,0,3,2,2
1973,17,52,2,5,24,40,1,0,0,0,3,2,2
1973,17,52,2,5,25,40,2,1,0,0,3,2,6
1973,17,52,2,5,25,32,1,0,0,0,3,1,2
1973,17,52,2,7,26,40,1,0,0,0,3,2,2
1973,17,52,2,9,36,32,0,1,0,0,3,1,2
1973,17,52,2,9,36,40,0,0,0,0,3,2,0
1973,17,52,2,9,37,32,0,1,0,0,3,1,2
1973,17,52,2,9,38,32,0,3,0,0,3,1,6
1973,17,52,2,9,39,32,1,2,0,0,3,1,6
1973,17,52,2,9,39,40,0,1,0,0,3,2,2
1973,17,52,2,9,39,44,0,1,0,0,3,3,2
1973,17,52,2,9,40,40,0,1,0,0,3,2,2
1973,17,52,2,9,40,32,0,2,0,0,3,1,4
1973,17,52,2,9,41,40,0,2,0,0,3,2,4
1973,17,52,2,9,42,42,1,0,0,0,3,5,2
1973,17,52,2,9,43,44,0,1,0,0,3,3,2
1973,17,52,2,9,44,44,1,0,0,0,3,3,2
1973,22,54,2,9,16,32,1,1,0,0,3,1,4
1973,22,54,2,9,17,44,0,1,0,0,3,3,2
1974,1,2,1,3,22,40,0,1,0,0,1,2,2
1974,3,2,2,10,24,40,1,1,0,0,1,2,4
1974,3,2,2,10,24,32,2,0,0,0,1,1,4
1974,3,2,2,3,31,45,0,0,0,0,1,9,0
1974,3,2,2,3,32,45,0,0,0,0,1,9,0
1974,3,2,2,9,37,45,0,0,0,0,1,9,0
1974,1,6,1,1,39,40,0,1,0,0,1,2,2
1974,1,6,1,2,40,32,1,0,0,0,1,1,2
1974,1,6,1,5,41,49,0,0,0,0,1,9,0
1974,1,6,1,0,42,32,0,1,0,0,1,1,2
1974,3,6,2,0,43,40,1,1,0,0,1,2,4
1974,3,6,2,1,46,40,1,0,0,0,1,2,2
1974,3,6,2,1,46,32,1,0,0,0,1,1,2
1974,3,6,2,5,48,40,2,0,0,0,1,2,4
1974,3,6,2,5,48,49,2,3,0,0,1,9,10
1974,3,6,2,5,48,46,3,3,0,0,1,5,9
1974,3,6,2,9,52,40,1,0,0,0,1,2,2
1974,2,7,1,1,30,32,0,2,0,0,1,1,4
1974,2,7,1,2,31,40,2,0,0,0,1,2,4
1974,3,7,2,10,32,40,2,1,0,0,1,2,6
1974,3,7,2,10,32,32,0,2,0,0,1,1,4
1974,3,7,2,10,32,39,1,0,0,0,1,5,2
1974,3,7,2,10,32,43,0,0,0,0,1,5,0
1974,3,7,2,10,32,44,0,1,0,0,1,3,2
1974,3,7,2,2,39,45,0,0,0,0,1,9,0
1974,3,7,2,3,46,45,0,0,0,0,1,9,0
1974,3,7,2,5,48,45,0,0,0,0,1,9,0
1974,3,7,2,7,50,45,0,0,0,0,1,9,0
1974,30,12,1,1,58,32,0,0,0,0,1,1,0
1974,30,12,1,1,58,40,0,0,0,0,1,2,0
1974,30,12,1,1,58,43,0,0,0,0,1,5,0
1974,30,12,1,2,59,32,0,1,0,0,1,1,2
1974,30,12,1,2,60,32,0,2,0,0,1,1,4
1974,30,12,1,2,60,40,1,0,0,0,1,2,2
1974,30,12,1,2,61,44,1,0,0,0,1,3,2
1974,30,12,1,5,62,40,0,1,0,0,1,2,2
1974,30,12,1,5,63,49,1,0,0,0,1,9,2
1974,30,12,1,1,64,32,0,3,0,0,1,1,6
1974,30,12,1,1,65,40,3,0,0,0,1,2,6
1974,30,12,1,1,66,46,1,1,0,0,1,5,3
1974,30,12,1,1,66,49,2,1,0,0,1,9,6
1974,30,12,1,2,67,40,1,0,0,0,1,2,2
1974,30,12,1,2,67,32,1,0,0,0,1,1,2
1974,30,12,1,5,68,40,1,0,0,0,1,2,2
1974,30,12,1,5,68,32,1,0,0,0,1,1,2
1974,30,12,1,5,68,49,4,2,0,0,1,9,12
1974,2,12,2,0,69,40,14,0,5,0,1,2,38
