species,mean,sd,lcl,ucl,median,year,n
wood duck,115049.28994259358,20872.835939107907,78378.07985824753,163501.00350119203,113341.33614472614,2009,113523
wood duck,112590.72314301049,20507.696466833288,78658.49825835538,159014.24910803937,109510.66070253434,2010,103769
wood duck,126792.1861732133,23822.155419722727,83004.39076412888,175378.08932762942,125849.02187646885,2011,146471
wood duck,109361.66131746354,19752.812738596127,74939.06227932737,154390.3460809325,107191.02065913333,2012,106626
wood duck,98525.70733543181,17565.39032012723,68480.17306057396,137799.3893007929,96017.21847187374,2013,91516
wood duck,98470.17759121094,17283.26751404482,66276.89818827972,136046.48379344636,98235.87909706307,2014,104140
wood duck,84203.00942976189,17462.922630795172,57275.112416532174,124047.93770333359,81695.77401459086,2015,68142
wood duck,93960.46519630926,17414.476670834207,65306.3392623964,133665.04706002746,91456.04212661693,2016,89775
wood duck,102652.10715260357,18760.95666063131,71254.60208478234,145253.54542353115,101395.71308853666,2017,102397
wood duck,106601.81096693077,19677.775743244572,73914.33624044979,151776.03709648008,103557.51987215123,2018,100055
wood duck,116925.62969675011,23842.406676152455,79399.08858527499,170255.22064401497,112597.56554880759,2019,100027
wood duck,157346.6721196679,46033.10395216261,85169.52562723497,265878.114890441,151063.90366672428,2020,NA
wood duck,205205.75844795603,49964.492365440805,118135.72012220592,308529.28176210826,204053.67560054566,2021,240293
trumpeter swan,711.5780968064656,388.57832645030004,251.2392192922319,1559.0803913953148,593.1289435202306,2005,1387
trumpeter swan,410.3112122973813,165.03286743053278,180.4330827253216,794.2234413465428,391.4176158473212,2006,193
trumpeter swan,512.2158037452643,164.91519567259533,260.16492896270853,911.2845088462676,483.91515200145926,2007,455
trumpeter swan,547.5915895601488,226.72161375100674,224.9585217173895,1046.4897585680499,528.9348866399918,2008,248
trumpeter swan,990.5158302825309,295.65056915078554,514.3807350448938,1640.9154215721592,947.2597018622364,2009,1340
trumpeter swan,1204.6142123848676,343.02319938910307,666.87819587557,2021.4987561655835,1165.5764903466797,2010,1237
trumpeter swan,1477.8533034886009,408.10237047349847,851.5591086638548,2468.7009027833087,1425.753124204135,2011,1408
trumpeter swan,1908.2075420069111,541.5062587890003,1055.7802841072603,3279.0660705025825,1837.4409384103192,2012,1999
trumpeter swan,2344.7092611789994,668.7069149859379,1382.8602581941032,3956.942320947147,2254.2453841978722,2013,2292
trumpeter swan,2955.972089518053,858.3482047588733,1688.2768873075324,5179.063757523799,2836.101085594387,2014,2979
trumpeter swan,3665.849420748529,1079.2358514719137,2085.0102312649897,6343.443048771153,3530.8395275578478,2015,3679
trumpeter swan,4581.267605786599,1317.9106902660847,2590.4807120487594,7765.021469980437,4427.594124473489,2016,5029
trumpeter swan,5142.405084375211,1436.018431009682,2894.01039134694,8484.058978849205,4909.784662315632,2017,4833
trumpeter swan,6077.938200342881,1758.2303304167017,3376.4705500713635,10176.228316311608,5799.7403831829615,2018,5677
trumpeter swan,7195.451836786993,2314.7901141945717,3658.250274959706,12913.40872279209,6761.700912637824,2019,6106
trumpeter swan,9749.991208265332,8467.249715547567,3341.940900353071,20672.032857850994,8747.65744811021,2020,NA
trumpeter swan,11503.568671615963,4314.254536298073,4892.670846645241,22294.814990660485,10958.24275095902,2021,11197
