year,region,i_ii_vi,iii,iv_v,vii_viii,non_linear,stream,ditch,linear
1973,1,5.618390804597701,1.1954022988505746,1.4942528735632183,0.7816091954022989,9.089655172413792,1.3885057471264368,0.9517241379310345,2.340229885057471
1973,2,1.1076923076923075,0.6358974358974359,2.7282051282051283,0.717948717948718,5.18974358974359,1.8871794871794871,0.10256410256410257,1.9897435897435898
1973,3,2.082051282051282,0.6666666666666666,1.682051282051282,0.9846153846153847,5.415384615384616,3.066666666666667,0.26666666666666666,3.3333333333333335
1974,1,2.9655172413793105,0.8275862068965517,1.7977011494252872,0.5241379310344827,6.114942528735632,1.2137931034482758,1.457471264367816,2.671264367816092
1974,2,1.2615384615384615,0.8102564102564103,2.9025641025641025,0.5025641025641026,5.476923076923076,1.4256410256410255,0.10256410256410257,1.528205128205128
1974,3,0.9846153846153847,0.46153846153846156,0.9333333333333333,0.5333333333333333,2.912820512820513,2.0923076923076924,0.4102564102564103,2.5025641025641026
1975,1,3.374712643678161,1.0758620689655172,1.7103448275862068,0.7632183908045977,6.924137931034482,1.2689655172413794,1.8620689655172413,3.1310344827586207
1975,2,2.5435897435897434,0.9230769230769231,3.066666666666667,0.6974358974358974,7.230769230769231,1.282051282051282,0.24615384615384617,1.528205128205128
1975,3,0.97435897435897445,0.6256410256410256,1.1487179487179486,0.6871794871794872,3.435897435897436,2.112820512820513,0.3794871794871795,2.4923076923076923
1976,1,3.613793103448276,1.3011494252873563,1.489655172413793,1.0804597701149425,7.485057471264368,1.4712643678160922,1.6735632183908045,3.1448275862068966
1976,2,2.358974358974359,0.6871794871794872,2.9743589743589745,0.7897435897435897,6.81025641025641,1.435897435897436,0.1641025641025641,1.6
1976,3,1.5897435897435896,0.4205128205128205,1.0564102564102564,0.7589743589743589,3.8256410256410254,2.3179487179487177,0.38974358974358975,2.7076923076923074
1977,1,0.9563218390804598,0.6482758620689655,1.3333333333333333,0.2574712643678161,3.1954022988505746,0.9241379310344828,1.3379310344827586,2.2620689655172415
1977,2,0.8512820512820514,0.8205128205128206,2.4820512820512817,0.3487179487179487,4.5025641025641026,1.087179487179487,0.12307692307692308,1.2102564102564102
1977,3,0.5333333333333333,0.3794871794871795,1.0666666666666667,0.12307692307692308,2.1025641025641026,1.6307692307692307,0.2153846153846154,1.8461538461538463
1978,1,2.8091954022988506,0.6206896551724138,2.0091954022988507,0.767816091954023,6.206896551724138,1.4758620689655173,2.1839080459770117,3.6597701149425292
1978,2,3.5897435897435894,0.5641025641025641,2.7384615384615385,2.1230769230769226,9.015384615384615,2.123076923076923,0.358974358974359,2.482051282051282
1978,3,2.051282051282051,0.46153846153846156,1.476923076923077,2.0307692307692307,6.02051282051282,3.312820512820513,0.5538461538461539,3.866666666666667
1979,1,5.622988505747125,0.9425287356321839,2.3770114942528737,2.0229885057471266,10.96551724137931,1.6551724137931034,2.5011494252873563,4.1563218390804595
1979,2,4.3076923076923075,0.6153846153846153,3.3128205128205126,4.6461538461538465,12.882051282051282,2.471794871794872,0.31794871794871793,2.7897435897435896
1979,3,3.466666666666667,0.4102564102564103,1.8153846153846154,4.553846153846154,10.246153846153845,3.5794871794871796,0.5743589743589743,4.153846153846154
1980,1,1.714942528735632,0.8413793103448276,2.367816091954023,0.8689655172413794,5.793103448275862,1.3425287356321838,2.216091954022988,3.558620689655172
1980,2,1.405128205128205,0.7897435897435898,3.2205128205128206,1.2512820512820513,6.666666666666667,1.6717948717948719,0.2153846153846154,1.8871794871794871
1980,3,0.9128205128205128,0.5641025641025641,2.0615384615384618,1.0666666666666667,4.605128205128206,3.117948717948718,0.4,3.517948717948718
1981,1,4.496551724137931,1.0758620689655172,2.6482758620689655,1.3379310344827586,9.558620689655172,1.6551724137931034,2.9241379310344824,4.579310344827586
1981,2,4.902564102564103,0.6666666666666666,3.035897435897436,3.1794871794871793,11.784615384615385,2.358974358974359,0.38974358974358975,2.7487179487179487
1981,3,3.917948717948718,0.5333333333333333,1.4769230769230768,2.9743589743589745,8.902564102564103,3.6102564102564103,0.5333333333333333,4.143589743589744
1982,1,1.7655172413793103,1.1172413793103446,2.606896551724138,1.4850574712643678,6.974712643678161,1.6827586206896552,2.473563218390805,4.15632183908046
1982,2,3.405128205128205,1.8051282051282052,4.635897435897435,2,11.846153846153845,2.441025641025641,0.49230769230769234,2.933333333333333
1982,3,1.7846153846153847,0.9846153846153847,2.2564102564102564,3.6923076923076925,8.717948717948719,3.5794871794871796,0.5025641025641026,4.082051282051282
1983,1,3.2827586206896555,0.8367816091954022,2.013793103448276,0.7586206896551724,6.891954022988506,2.0091954022988507,2.772413793103448,4.781609195402298
1983,2,4.174358974358975,0.7487179487179486,3.4666666666666663,1.2717948717948717,9.661538461538461,2.235897435897436,0.46153846153846156,2.6974358974358976
1983,3,2.3179487179487177,0.30769230769230765,1.6820512820512818,1.5179487179487179,5.825641025641025,3.6820512820512823,0.6051282051282051,4.287179487179487
1984,1,7.811494252873564,0.6298850574712644,1.9954022988505744,1.3793103448275863,11.816091954022989,2.211494252873563,4.055172413793104,6.266666666666667
1984,2,5.497435897435898,1.0461538461538462,3.9384615384615382,3.3846153846153846,13.866666666666667,3.1794871794871797,0.758974358974359,3.9384615384615387
1984,3,5.661538461538462,0.5435897435897435,1.5897435897435899,2.758974358974359,10.553846153846154,4.3589743589743595,1.1076923076923078,5.466666666666667
1985,1,3.503448275862069,0.8551724137931035,2.3448275862068964,1.1172413793103446,7.820689655172413,1.9586206896551726,3.935632183908046,5.894252873563219
